codart,uniart,descrip,valor,resto,unipaq,unidmin,peso,codprecan,codpreres,factor
1,0,CODIGO MERCADERIA - PRUEBA,0,1,0,0,1,CJ,,0
462,1,ECCO CEBADA 58GR*48UN,0.058,48,2,0,0.06,CJ,UN,0
470,1,SEMOLA MOLITALIA 20UN*200GR,0.2,20,0,20,4,PQ,UN,20
471,1,ALACENA MAYON 12UN*475GR,0.5,12,0.5,0,6,CJ,UN,0
481,1,3 OSITO AV/ MACA 12UN*170GR,0.17,12,0.5,0,2.04,PQ,UN,0
486,1,PRIMOR ACEIT.VEGETALCLASI.1LT*12BOT,1,12,0,0,12,CJ,UN,0
488,1,BOLIVAR DET.AV.FLORAL360GR*30UN,0.36,30,1.25,0,10.8,PQ,UN,0
489,1,IDEAL ACEITE 1LT*12BOT,1,12,0.5,0,12,CJ,UN,0
491,1,PRIMOR PREMIUM VEGETAL1LT*12BOT,1,12,0.5,0,12,CJ,UN,0
515,1,FANNY MERM SCH FRS 6DP*12U*100GR,0.1,6,0,0,7.2,CJ,DS,0
539,1,POMAROLA SALS/TOM 24UN*160GR,0.16,24,0,6,3.84,CJ,UN,0
545,1,FANNY MERM DOY PACK 8UN*800GR,0.8,8,0,0,6.4,CJ,UN,0
550,1,FRUNA BLOCKS 12DP*20U*25GR,0.5,12,0,0,6,CJ,DS,0
551,1,GLORIA LCH.FRSC.TETRA.UHTNTR.1L*12UN,1,12,0.5,0,12,CJ,UN,0
552,1,GLORIA LCH.FRSC.TETRA.UHTLIGHT1L*12UN,1,12,0.5,0,12,CJ,UN,0
560,1,GLORIA LCH.LIGHT 1CJ*24UN*400GR,1,24,0,0,0.4,CJ,UN,0
564,1,3 OSITO AV/ KIWICH 12UN*170GR,0.17,12,0,0,2.04,PQ,UN,0
566,1,FRUGOS TETRAPACK  1.5 LT X 8UN,1.5,8,0,0,12,CJ,UN,0
568,1,INKA KOLA GASEOSA1.5LT*6UNID,1.5,6,0.25,0,9,PQ,UN,0